URI	rdf:type	skos:prefLabel	skos:altLabel	skos:hiddenLabel	skos:definition	skos:narrower	skos:broader	skos:scopeNote	skos:changeNote
9	skos:Concept	Académie de danse					8.0		EP345647
10	skos:Concept	Académie de musique			On donne ce nom à plusieurs sortes d'institutions relatives à la musique. Appartiennent aux plus remarquables académies musicales : La Société philharmonique de Vérone, qui florissait déjà dans le seizième siècle; L'Académie philharmonique de Rome ; L'Académie philharmonique de Bologne, fondée en 1666; Le Conservatoire royal et l'Académie royale de musique de Paris ; L'ancienne Société de musique, fondée à Londres en 1710; L'Académie impériale de Saint-Pétersbourg; L'Académie royale de Stockholm; L'Académie de chant, fondée à Berlin en 1789 ; La Société philharmonique de l'empire d'Autriche, fondée à Vienne en 1812.		8.0		EP345648;PMB1101
11	skos:Concept	Académie de peinture							
12	skos:Concept	Académie de poésie					8.0		EP345649
13	skos:Concept	Académie provinciale					8.0		EP345650
14	skos:Concept	Académie scientifique					8.0		EP345651
15	skos:Concept	Accent			Appliqué à la déclamation, et spécialement au chant et à la musique, ce mot exprime les diverses modifications qu'éprouve le son de voix sous l'impression d'un sentiment, d'une passion quelconque. Voici les nuances le plus en usage de l' accent musical : Piano-pianissimo (PPP), le plus faiblement possible; Pianissimo (PP), très-faiblement ; Piano (P), faiblement ; Mezzo piano (MP), faiblement, d'une manière modérée; Poco forte (poco F), un peu fort; Mezzo forte (MF), modérément fort; Forte (F), fort ; Fortissimo (FF), très-fort ; Forte fortissimo (FFF), le plus fort possible : on dit aussi Tutta forza. Voici les termes qu'on emploie pour indiquer la modification successive des nuances : Crescendo cres. ou cr , en augmentant de force par degré ; Rinforzando rinf. ou rfz , en renfonçant; Decrescendo.... décres , avec une force décroissante ; Diminuendo dimin, ou dim , en diminuant; Calando.... cal , en décroissant ; Mancando mancand , en s'éteignant. Morendo mor , en mourant; Perdendosi perdend , en laissant mourir le son. On emploie encore les mots : Vibrato, qui signifie qu'il faut faire vibrer le son ; Sforzando, qui signifie qu'il faut tout d'un coup donner plus de force ; Legato, qui signifie qu'il faut lier et couler les notes ; Et staccato, qu'il faut les détacher. On emploie d'autres mots encore pour indiquer toutes les nuances de l'accent; ils sont moins importants ; on les trouvera à leur place. L'art d'accentuer convenablement constitue en grande partie le talent du comédien, du chanteur ; c'est par le juste caractère de l'accent que se manifestent l'intelligence et la sensibilité. — Il faut éviter de trop multiplier les accents. A force de prodiguer les effets, on finirait par les éteindre, de même qu'on éblouit les yeux en prodiguant les lumières.		48.0		EP345721
16	skos:Concept	Accent psalmodique							
17	skos:Concept	Accentuation			Désigne l'ensemble des règles ou des pratiques qui organisent où et comment les accents apparaissent dans un morceau ou un style musical.				EP345652
18	skos:Concept	Accident			En musique les accidents sont des signes, appelés dièses, bémols, bécarres, doubles dièzes, doubles bémols, qui viennent altérer accidentellement les sons naturels de la gamme, pendant la durée de la mesure où ils sont placés.				
19	skos:Concept	Accompagnateur			Celui qui aide, soutient et relève à l'aide de la voix ou de l'instrument la partie principale d'un morceau de. musique exécuté soit par la voix soit par un instrument.		1476.0		EP346426
20	skos:Concept	Accompagnement			On entend par ce mot tantôt l'aide ou le soutien harmonique d'un chant ou d'une voix principale.				EP345654;PMB1102
21	skos:Concept	Accompagnement instrumental							EP345661
22	skos:Concept	Accord			On appelle accord l'union simultanée de plusieurs sons produisant à l'oreille un effet agréable. La classification des accords employés dans l'harmonie a subi des variations infinies depuis Rameau jusqu'à nos jours. Nous les ferons connaître en parlant des théories harmoniques. En réalité, il n'y a que deux accords : l'accord parfait sur la tonique, et l'accord de dominante. L'accord parfait sur la tonique est composé de la tonique, de sa tierce majeure ou mineure, de sa quinte, et, si l'on veut, de son octave ; par exemple, ut, mi, sol, ut, dans le ton d'ut majeur, et ut, mi bémol, sol, ut, dans le ton d'ut mineur. L'accord de dominante est le même dans les deux modes. Il est composé de la dominante, de sa tierce, -de sa quinte, de sa septième, et si l'on veut de son octave ; par exemple, sol, si, ré, fa, sol, dans le ton d'ut. L'harmonie entière, dans un ton donné, se réduit à l'emploi successif de ces deux accords. (Voyez le mot HARMONIE.) On peut employer les accords dans leur état naturel et tels que nous venons de les écrire; on peut aussi doubler ou retrancher quelques-unes de leurs notes, et les disposer de plusieurs manières. On peut les modifier par le renversement, les altérations, le retard, l'anticipation, la substitution, les appogiatures, les notes de passage, les pédales et les progressions. (Voyez ces mots. Voyez aussi RÉSOLUTION des accords et MARCHE des parties harmoniques.) L'étude des accords et des lois qui les régissent constitue l'harmonie théorique; leur emploi, leur enchaînement plus ou moins heureux dans une pièce de musique, constitue l'harmonie pratique. (Voyez le mot HARMONIE et tous les mots ACCORDS.)		1050.0		EP346029;PMB1104
23	skos:Concept	Accord d'instrument			C'est tendre ou lâcher les cordes, allonger ou racourcir les tuyaux de l'orgue, de la flûte, du cor, tendre ou lâcher les peaux des timbales ; en un mot, c'est augmenter ou diminuer la tension des corps sonores, jusqu'à ce que toutes les parties de l'instrument soient au ton qu'elles doivent avoir. Le parfait accord de tous les instruments est une des principales qualités pour une bonne exécution d'ensemble. C'est pourquoi l'on a l'habitude, quelque temps avant de commencer à jouer, non-seulement d'accorder les instruments à cordes d'après le diapason, mais encore d'essayer tous les instruments à vent, pour voir s'ils sont d'accord entre eux. Au théâtre, ces préparatifs doivent se faire avant de descendre à l'orchestre.				EP345662
24	skos:Concept	Accordeur			On nomme accordeurs d'orgue ou de piano ceux qui vont dans les églises ou dans les maisons accorder ces instruments. Quand les accordeurs raccommodent aussi ces instruments, ils prennent le nom de facteurs. (Voyez FACTEURS.) On nomme également ACCORDEUR, un petit instrument composé de douze diapasons en acier disposés sur une planchette sonore et donnant avecjustesse les douze demi-tons de la gamme par tempérament égal.				
25	skos:Concept	Acoustique			Tel est le nom que l'on donne à la science des sons , à l'étude de leurs mesures , des moyens de les produire. La vue et le toucher permettent de constater que le son qui frappe l'oreille a pour cause le mouvement vibratoire d'un corps solide, liquide ou gazeux. Le son pour être perçu,a besoin d'un intermédiaire, ainsi dans le vide le son n'arrive pas à notre oreille ; l'air sert le plus généralement de véhicule au son pour sa transmission. Cette transmission n'est pas instantanée, et on s'aperçoit facilement de ce fait en remarquant la distance qui existe, quand on tire le canon, entre l'explosion lumineuse et la perception du son. Des expériences ont fait reconnaître que le son parcourt 333 mètres par seconde, à la température de 0°, et pour une température plus élevée, l'élasticité de l'air étant augmentée, la vitesse de son augmente également : ainsi on a reconnu qu'à une température de 6°, la vitesse de son était de 337 mètres par seconde, et il est à peu près prouvé que les sons se propagent également vile, quels que soient leur intensité, leur diapason et leur timbre. L'harmonie d'un concert n'est pas troublée à quelque distance qu'on se place pour l'entendre ; l'intensité générale seule diminue par l'éloignement, mais la mesure et la simultanéité des sons différents qui concourent à former les accords restent inaltérées. L'air n'est pas le seul véhicule du son. Colardon et Sturm ont déterminé la vitesse du son dans l'eau calme, par une série d'expériences faites sur le lac de Genève, et la vitesse de la propagation du son était de 1,435 mètres par seconde. La mesure des sons et les moyens de les produire ont donné naissance à un art, celui de la construction des instruments et des appareils musicaux ( Voir FACTURE INSTRUMENTALE) . Le mouvement des vibrations qu'éprouve un corps se propage dans l'air par une transmission de proche en proche, que l'on peut comparer aux ondes successives auxquelles donnent naissance un caillou jeté dans une pièce d'eau tranquille. Lorsqu'une lame, tenue fixement par une de ses extrémités, est mise en mouvement à son extrémité libre, elle comprime les molécules de l'air qu'elle rencontre, exerce une certaine pression qui va croissant avec la vitesse de la lame; puis, décroissant, et enfin devenant nulle quand celle-ci rentre en repos. Un effet inverse se produit par le mouvement d'avant en arrière de la lame. On appelle onde sonore l'ensemble des couches d'air à diverses pressions croissantes et décroissantes pour une vibration. Par suite de la grande élasticité des gaz, ces couches d'air communiquent leur vitesse aux couches suivantes, puis rentrent en repos. Les molécules d'air ne parcourent donc que des distances peu étendues, tandis que le son se propage comme les ondes liquides à la surface de l'eau. De la vitesse des vibrations, ou du nombre de ces vibrations, dans un temps donné, dépend le plus ou moins de hauteur du son, qui sera d'autant plus élevé que les vibrations seront plus rapides, et d'autant plus bas que ces vibrations seront plus lentes. Mais notre oreille n'est pas susceptible de percevoir le son à tous les degrés ; il y a des limites à cette perception. En général, les sons cessent d'être perceptibles quand le nombre des vibrations dépasse environ 10,000 vibrations par seconde , ou reste inférieur à 30. Pour évaluer ces vibrations , beaucoup trop rapides pour être comptées directement, on a imaginé divers instruments. (Voir SIRÈNE), qui indiquent d'une manière assez précise le nombre de vibrationsdans un temps donné. Il existe un phénomène d'acoustique que l'évaluation numérique des vibrations a servi à expliquer : c'est celui des battements. Quand deux instruments de même nature, ou deux cordes, ou deux tuyaux rendent des sons prolongés, on entend en sus une sorte de roulement dont les battements élémentaires sont d'autant plus rapprochés que l'intervalle des deux sons est plus grand Quand les deux instruments, les deux cordes ou les deux tuyaux sont à l'unisson, tout battement cesse. Quand, au contraire, les sons sont très-distants l'un de l'autre, le roulement peut devenir assez précipité pour engendrer un troisième son. Ce phénomène est dû à la coïncidence des vibrations de deux corps sonores , qui se reproduit périodiquement et détermine, chaque fois, un renforcement dans le son. Le son se produit de différentes manières : les frottements et les chocs excitent une quantité de sons en déterminant dans les molécules des corps des agitations et des mouvements plus ou moins réguliers. Nous ne nous occuperons dans cet ouvrage, consacré spécialement à la musique, que des circonstances dans lesquelles peuvent prendre naissance les sons musicaux. Les moyens de production du son dans les instruments de musique sont de trois sortes. — 1° Les cordes sonores (voir ces mots) ; les expériences ont établi que les nombres de vibrations des cordes sont proportionnées aux racines carrées des poids qui les tendent, mais ils sont en raison inverse des longueurs des cordes, de leur épaisseur et des racines carrées de leurs densités; 2° La vibration des tiges. Quand une tige ou une lame est pincée par une de ses extrémités dans un étau, si on fait un effort pour la courber et qu'on l'abandonne à elle-même, on la voit, comme une corde pincée, décrire des oscillations dont le nombre est lié à la longueur de la partie vibrante d'une manière assez simple. Ce nombre est en raison inverse de la racine carrée de la longueur, comptée à partir de l'extrémité libre jusqu'au point ou la tige s'engage entre les dents de l'étau ; 3° Vibration de l'air dans les tuyaux. L'air dans bien des cas, est luimême le corps dont les vibrations excitent le son. On en voit de nombreux exemples dans les instruments à vent, qui, en général, isolent une colonne d'air, dont les dimensions influent sur la hauteur du son. Le procédé usité pour mettre cette colonne d'air en vibration, varie d'un instrument à l'autre, mais toujours on peut le considérer comme fondé sur l'emploi de l'anche (voir ce mot) ou du bec de flûte. Le son éprouve quelquefois certains obstacles à sa propagation, et alors il se réfléchit. Les conditions de ce mouvement rétrograde sans différer sensiblement de celles qui déterminent la propagation directe, donnent naissance à ces phénomènes qui ont reçu le nom d'écho. (voir SON.)				EP345663;PMB1106
26	skos:Concept	Acoustique des cordes					25.0		EP345664
27	skos:Concept	Acoustique d'un lieu					25.0		EP345682
28	skos:Concept	Acte			En musique et en poésie ce mot signifie une division du drame, qui sert à reposer l'attention du spectateur. — L'intervalle entre deux actes s'appelle entr'acte. (Voyez le mot OPERA.)				EP345685
29	skos:Concept	Acte de décès							
30	skos:Concept	Acte de l'état civil					729.0		EP345986
31	skos:Concept	Acte de mariage					30.0		EP345987
32	skos:Concept	Acte de naissance							
33	skos:Concept	Acte de vente							
34	skos:Concept	Acte notarié					729.0		EP345989
35	skos:Concept	Acteur	comédien##comédienne##tragédien##tragédienne		C'est le nom général donné par le public aux personnes qui paraissent sur le théâtre, depuis les premiers sujets de la tragédie, de la danse et du chant, jusqu'aux plus modestes comparses. Chez les nations grecques, douées d'une intelligence vive et d'une exquise sensibilité, la profession d'acteur, exercée par des citoyens dans les réunions solennelles et aux fêtes olympiques, dut nécessairement être honorable et honorée. — Il n'en fut pas de même chez les Romains, peuple de moeurs énergiques, mais grossières, plus fait pour la guerre que pour les jeux de l'esprit. Là, les premiers acteurs, sortis de la classe des esclaves, ou tout au moius des affranchis, ou venus des provinces conquises, se trouvèrent en concurrence avec les gladiateurs et des entrepreneurs de combats d'animaux. L'infériorité de position de ceux qui exercèrent, les premiers, la profession d'artiste dramatique, et notamment celle de chanteur, influa puissamment sur le degré d'estime que le sénat crut devoir accorder à leurs successeurs. Tacite nous apprend que, d'après des ordonnances spéciales, un sénateur ne pouvait les visiter chez eux, ni un chevalier romain les accompagner dans la rue. Il fallut les réclamations d'un tribun du peuple et le bon sens de Tibère pour maintenir une ordonnance d'Auguste, qui les proclamait exempts du fouet, et empêcher le sénat de livrer leurs épaules à l'arbitraire d'un préteur.— Un des reproches que les historiens ont faits à Néron, c'est d'avoir chanté sur le théâtre. Cependant les acteurs n'étaient pas tous méprisés des Romains ; la jeunesse romaine elle-même imita, dans les fêtes solennelles, et surtout dans celle des moissons, les acteurs toscans qui, les premiers, avaient importé à Rome les jeux scéniques de l'Étrurie. Plus tard, à ce qu'il paraît, ce fut encore la jeunesse romaine qui joua les compositions dramatiques appelées satires. Le savant Alexandre Adam ne laisse aucun doute à cet égard, dans les Antiquités romaines. Les poètes dramatiques étaient presque tous acteurs dans leurs ouvrages, comme Molière dans les siens; c'était l'usage alors. Or, parmi les Naevius, les Ennius, les Plaute, les Gaecilius, les Térence, les Afranius, les Pacuvius, les Accius et les autres poètes dramatiques romains, il y eut des hommes très-honorables et trèsrecherchés. Lorsque le jeu dramatique devint un art, la jeunesse romaine abandonna la représentation des pièces régulières aux acteurs de profession, mais elle joua les compositions bouffonnes, ou farces entremêlées de beaucoup de facéties, par lesquelles on terminait ordinairement le spectacle, et que l'on nommait Exodies ou pièces atelIanes. Les acteurs de ces farces conservaient tous leurs droits de citoyens et pouvaient servir dans les armées. Le grand Cicéron était l'admirateur et l'ami du célèbre tragédien Esope et du célèbre comédien Roscius. Celui-ci était aussi l'ami de Pison et de Sylla : c'est pour lui que Cicéron fit son beau discours Pro Roscio. Les mimes Labérius et Publius Syrus étaient fort renommés à Rome, sous Jules César. Auguste causait avec Pylade, et Bathylle était le favori de Mécènes. En France, placés entre la noblesse, qui les nourrissait sur le pied de domesticité, et la bourgeoisie qui, ne les rencontrant dans aucune ville en corporation de quelque importance, oublia de les admettre à cette confraternité d'estime que les arts et métiers s'accordaient mutuellement, la condition des artistes dramatiques devint fort précaire. Elle fut empirée encore par les anathèmes que les ecclésiastiques français ful minèrent contre elle. Il le faut avouer, cependant, ils en avaient le droit. Le gouvernement civil peut refuser son concours, ses honneurs, ses récompenses, ses croix, ses pensions à ceux qui ne les ont point mérités: de même, le gouvernement ecclésiastique peut refuser ses sacrements, ses prières, ce qu'il appelle ses grâces et ses honneurs spirituels à quiconque ne lui en paraît pas digne. Il a pu abuser de son droit; mais enfin c'était son droit. Au reste, les anathèmes dont nous parlons, n'ont existé qu'en France et seulement dans quelques diocèses, et celà, grâce aux Jansénistes. Partout ailleurs, en Espagne et en Italie, il n'existe rien de semblable; et même, lorsque les pièces de théâtre ne sont pas immorales, il est parfaitement loisible aux ecclésiastiques d'assister à leur représentation. Le diocèse de Paris se montra sévère entre tous, à l'égard des théâtres et des acteurs : on sait ce qui fut fait à Molière. Cela n'empêcha pas la cour et la ville de les fréquenter et même de les honorer. Molière était reçu à la cour puritaine et démesurément aristocratique de Louis XIV. Le comédien Baron forma à la déclamation dramatique une ou deux altesses royales de la famille de Louis XV. Au reste, Louis XIV et sa famille toute entière, la Pompadour, Marie-Antoinette, les ducs de Provence et d'Artois se firent acteurs. Aujourd'hui qu'on exerce l'art thréâtral sans en être moins garde national, électeur, juré et éligible, la femme du monde reçoit dans son salon le comédien, le chanteur ou la cantatrice célèbres. Le bourgeois ne refuse pas à un artiste dramatique sa table et même sa fille, s'il gagne de bons appointements et mène une vie rangée, et le prolétaire professe presque du respect pour tout acteur.				EP345686;PMB1109
36	skos:Concept	Action			Expression des mouvements de l'âme par les mouvements et l'attitude du corps. On se sert particulièrement de ce terme pour la pantomime et l'art du chanteur et du comédien. — Le pantomime ne parle qu'aux yeux, tandis que le comédien y joint la déclamation ou le chant. L'action du chanteur déterminée par la musique, diffère de l'action du comédien qui déclame. — L'action embrasse 1° le maintien, la pose du corps, en un mot, l'attitude; 2° les mouvements des différentes parties du corps, telles que la tête, les mains, les pieds. Les plus expressives de ces parties sont les yeux et les muscles du visage, les mains et les doigts. Les mouvements des pieds sont du domaine de la danse.				
37	skos:Concept	Action dramatique							EP345694
38	skos:Concept	Activité musicale							EP345703
39	skos:Concept	Actrice					35.0		EP345687;PMB1110
40	skos:Concept	Adaptation d'oeuvre musicale							EP345704
41	skos:Concept	Administration d'une institution					2480.0		EP347008
42	skos:Concept	Adresse							EP345705
43	skos:Concept	Adresse d'éditeur					42.0		EP345706
44	skos:Concept	Affections	Affect		La musique vit surtout d'affections et de sentiments. Le compositeur a principalement pour mission de traduire, en notes tour à tour vives, joyeuses, passionnées, plaintives et mélancoliques, les affections diverses qui agitent le coeur humain. — Bien qu'il n'ait pas la précision du langage ordinaire, le langage musical offre pourtant des ressources infinies. Ecoutez une des belles compositions de Gluck, de Weber, de Rossini, quelle variété d'impressions fait naître en vous l'oeuvre de ces grands artistes ! Avec quel art merveilleux ils savent exprimer tous les sentiments, l'amour, la haine, l'ironie, la colère. — La vive expression des affections de l'âme est le plus beau privilége du génie musical ; elle est la source des grands succès dramatiques. On ne saurait donc trop recommander aux compositeurs l'étude de la nature et du coeur humain. La science du contrepoint a son utilité sans doute, mais elle ne saurait produire que. des résultats médiocres sans la connaissance des affections et des sentiments.		870.0		EP346082;PMB1111
45	skos:Concept	Affiche							EP345707
46	skos:Concept	Agnus Dei			On appelle ainsi une prière de la liturgie catholique romaine qui commence par ces mots, et que l'on chante ordinairement avant la communion. Suivant une bulle du pape Sergius 1er, de 688, elle doit terminer la messe.				
47	skos:Concept	Agogique	Dérive du mot grec agoge qui indiquait chez les anciens la forme mélodieuse dans la marche successive des sons. Agogique désigne donc un changement de rythme dans l'interprétation d'un morceau.						EP345708
48	skos:Concept	Agrément			Les agréments sont des sons ou des groupes de sons ajoutés par l'exécutant à ceux qui sont notés pour amener les intonations, lier les sons en remplissant les intervalles qui les séparent et donner ainsi plus de variété, d'effet et d'expression aux compositions. Les principaux agréments sont : le port de voix, la roulade, le trille, le groupe, la mise des voix, l'appogiature, le mordant ; ils sont employés de la même manière par les chanteurs et les instrumentistes. Les clavecinistes du siècle dernier employaient aussi des agréments qui s'appelaient pincé, tremblement, arpègement, etc.				EP345720;PMB1112
49	skos:Concept	Air			Cette dénomination se donne en musique à un morceau dont le sens peut être compris étant exécuté par une seule voix ou un seul instrument, et lorsque ce morceau a toute l'étendue désirable pour constituer, d'après les règles de l'art, une pièce de musique bien complète. — Un bon air, pour mériter cette qualification, doit être un petit poëme musical, et on en compte un très-petit nombre. Il doit avoir son exposition, son noeud et son dénouement, et surtout cette unité si précieuse dans les beaux-arts, lorsque l'on veut plaire ou charmer. — Voyez les mots ARIETTE, RONDEAU, BARCAROLLE, NOCTURNE, ROMANCE, VAUDEVILLE, pour connaître leurs liens de parenté avec l'air dont ils sont issus, et savoir à quel degré de filiation les placent leurs titres.		1544.0		EP346603;PMB1113
50	skos:Concept	Air à boire					49.0		EP346604;PMB1114
51	skos:Concept	Air à chanter							
52	skos:Concept	Air à danser							EP345735;PMB1116
53	skos:Concept	Air à manger							PMB1117
54	skos:Concept	Air bachique							
55	skos:Concept	Air de ballet					981.0		EP346517
56	skos:Concept	Air de comédie					981.0		EP346518
57	skos:Concept	Air de concert							PMB1119
58	skos:Concept	Air de cour					49.0		EP346605;PMB1120
59	skos:Concept	Air de danse							
60	skos:Concept	Air de dévotion							
61	skos:Concept	Air de pantomime							
62	skos:Concept	Air d'opéra							PMB1118
63	skos:Concept	Air espagnol					49.0		EP346606;PMB1123
64	skos:Concept	Air instrumental					1533.0		EP346565;PMB1124
65	skos:Concept	Air italien					49.0		EP346607;PMB1125
66	skos:Concept	Air napolitain							PMB1126
67	skos:Concept	Air patriotique							
68	skos:Concept	Air populaire							PMB23126
69	skos:Concept	Air sérieux					49.0		EP346608;PMB1127
70	skos:Concept	Air spirituel					49.0		EP346609;PMB1128
71	skos:Concept	Air tendre							
72	skos:Concept	Air turc							PMB1130
73	skos:Concept	Air vocal							EP345762
74	skos:Concept	Allégorie					1830.0		EP346771
75	skos:Concept	Allemande			Danse originaire de l'Allemagne. Cette figure chorégraphique , composée de passes tout à fait pittoresques, et dans laquelle un cavalier semble coqueter entre deux dames, s'exécute sur un air très-gai dont la mesure se bat à deux temps. On l'a dansée autrefois en France. Elle est maintenant exilée de nos salons.		52.0		EP345736;PMB1133
76	skos:Concept	Almanach							EP345763;PMB22894
77	skos:Concept	Almanach musical							PMB1134
78	skos:Concept	Almanach royal					76.0		EP345764
79	skos:Concept	Altération			En musique élémentaire, ce mot désigne le changement que l'on fait subir aux notes naturelles ou diatoniques par le moyen de certains signes nommés dièses, bémols ou bécarres. Le dièse élève d'un demi-ton la note devant laquelle il est placé, le bémol l'abaisse d'un demi-ton, et le bécarre la remet dans son état naturel, en détruisant l'effet du dièse ou du bémol. Le demi-ton d'élévation que le dièse produit et le demi-ton d'abaissement produit par le bémol ne coïncident pas tout à fait au même point. Ainsi ut dièse et ré bémol ne donnent pas tout à fait le môme son ; ut dièse est un peu plus élevé que ré bémol, et réciproquement ré bémol est un peu plus bas que ut dièse; de sorte qu'en montant d'ut à ré, on a ut, ré bémol, ut dièse, ré. C'est pour cela que ut dièse tend à monter vers ré, et ré bémol, au contraire, à descendre vers ut. En pratique, ré bémol et ut dièse sont considérés comme donnant le même son. Dans les instruments à sons fixes, comme le piano, l'orgue, etc., on élève un peu le bémol et on abaisse un peu le dièse pour les faire coïncider parfaitement au même point. C'est ce qu'on appelle tempérament. (Voyez ce mot).				
80	skos:Concept	Altération accidentelle							
81	skos:Concept	Altiste			Musicien qui joue de l'alto.				
82	skos:Concept	Alto (instrument)			On appelle ainsi un instrument à quatre cordes, d'une dimension un peu plus grande que celle du violon, et qui tient, dans un orchestre, le milieu entre cet instrument et le violoncelle ou la basse. Gomme le violon, il est composé de deux tables collées sur des éclisses qui forment le tour de l'instrument, et d'un manche dont le sommier est traversé par des chevilles qui servent à tendre les cordes retenues à l'autre bout par une seconde pièce de bois noirci que l'on appelle la queue. Le manche est également couvert par une seconde pièce de bois dur et noirci qu'on nomme la touche, et sur laquelle posent les cordes légèrement inclinées par le chevalet placé entre lui et la queue. — L'alto n'a que quatre cordes comme le violon, et se joue de même, avec un archet qui lui fait rendre un son plus grave, mais doux et mélancolique. — L'alto nous vient des Italiens, qui excellaient dans la fabrication de cet instrument. Le nom du célèbre Amati donne, de nos jours, un prix très-élevé à ses productions, devenues très-rares. — Le timbre de l'alto possède des qualités expressives si saillantes, que dans les occasions où les anciens compositeurs l'ont mis en évidence, il n'a jamais manqué de répondre à leur attente. On sait l'impression profonde qu'il produit toujours dans ce morceau d'Iphégénie en Tauride, où Oreste, accablé de fatigue, haletant, respirant à peine, s'assoupit en répétant : Le calme rentre dans mon coeur ! pendant que l'orchestre, sourdement agité, fait entendre des sanglots, des plaintes convulsives, dominés incessamment par l'affreux et obstiné grondement des altos. Quelquefois on donne aux altos la partie grave de l'harmonie. Gluck l'a fait pour rendre pl us terrible l'attaque des basses, au forte, et Sacchini, dans l'air d'OEdipe : Votre cour devient mon asile, pour donner à l'instrumentation une fraîcheur et un calme délicieux. Autrefois, on appelait alto-basso, un instrument de percussion à cordes que le musicien frappait avec un petit bâton, tandis que de l'autre il jouait sur la flûte un air qui s'unissait aux sons de l'alto-basso accordé à l'octave, à la quinte ou à la quarte. De nos jours, il n'est plus d'usage parmi les musiciens, qui en conservent à peine le souvenir.				PMB1135
83	skos:Concept	Alto (voix)	Contre		Voix de femme au-dessous du soprano et audessus du contre-alto (Voyez l'article Voix.)		413.0		EP346430
