Concept	Définition
Accessoires	Dans les oeuvres de l'art et spécialement dans les compositions musicales, on appelle parties accessoires celles qui, sans être inséparables du sujet traité par l'artiste, servent à le relever, à le mettre dans tout son jour, à y rattacher certaines idées secondaires relatives à ce sujet, en général à l'embellir et à le développer davantage. L'accessoire doit d'ailleurs être lié au sujet principal de manière à en paraître presque inséparable. (Voir COMPOSITION.) — Au théâtre on nomme accessoires certains objets portatifs qui peuvent être nécessaire à la représentation, comme les meubles, les corbeilles, etc. — Ce mot désigne également les petits rôles d'une pièce, indépendants du sujet. On dit d'un acteur, il joue les accessoires. — En lutherie on nomme accessoires d'un violon, la barre, l'âme et le chevalet.
Acciacatura	Terme italien de musique, signifiant une espèce d'agrément d'exécution, sur laquelle cependant ou n'est pas généralement d'accord. Selon les uns, elle consiste à frapper rapidement et d'une manière successive toutes les notes d'un accord, pour leur donner une plus grande résonnance; elle se marque en écrivant en petites notes et dans leur ordre successif toutes les notes de l'accord, et ensuite l'accord lui-même, ou en faisant précéder l'accord par une espèce de zig-zag perpendiculaire. Selon d'autres, elle consiste à frapper dans un accord une ou plusieurs notes qui ne lui appartiennent pas ; elle se marque par une petite ligne transversale, traversant l'accord, là où la note étrangère à l'accord doit être frappée. Selon d'autres, enfin, c'est une appogiature, mais que l'on frappe presque simultanément avec la note principale. Pour exprimer cette nuance, quelques compositeurs coupent la petite note par un trait.
Accident	En musique les accidents sont des signes, appelés dièses, bémols, bécarres, doubles dièzes, doubles bémols, qui viennent altérer accidentellement les sons naturels de la gamme, pendant la durée de la mesure où ils sont placés.
Accidentel	Dièses ou bémols accidentels, lignes accidentelles ou supplémentaires, c'est-à-dire celles qu'on ajoute en dessus ou en dessous de la portée, lorsque l'étendue des voix ou des instruments l'exige.
Accidentia notarum	Expression employée dans la musique ancienne pour indiquer qu'on devait rendre d'une moindre valeur une note placée entre deux notes d'une plus grande valeur, équivalente à la note précédente ou à la suivante; ou qu'une note d'une plus grande valeur devait perdre la troisième partie de cette même valeur; Ce moyen n'a été pratiqué que dans les temps pairs.
Acclamateur	Celui qui applaudit, qui concourt aux acclamations.
Acclamations	A Rome les acclamations étaient fort usitées au théâtre, et particulièrement dans les représentations lyriques. Ce ne furent d'abord que des cris et des applaudissements confus ; mais dès le règne d'Auguste on en lit un concert étudié : un musicien donnait le ton, et le peuple, formant deux choeurs, répétait alternativement la formule d'acclamations. Le dernier acteur qui occupait la scène donnait le signal des acclamations par ces mots : « Vadete et applaudite. » Lorsque Néron jouait de la lyre sur le théâtre, Sénèque et Burrhus étaient alors les coryphées ou premiers acclamateurs ; de jeunes chevaliers se plaçaient en différents endroits du théâtre pour répéter les acclamations, et des soldats, gagés à cet effet, se mêlaient parmi le peuple afin que le prince entendit un concert unanime d'applaudissements. Ces acclamations chantées ou plutôt accentuées, durèrent jusqu'au règne de Théodoric— Chez les Hébreux le Hosanna, chez les Grecs l'ayaS!) t&x>), chez les Modernes le Vivat et les Hourra, sont des termes d'acclamation.
Accolade	Nom du signe ou du trait de plume qui unit deux ou plusieurs portées.
Accompagnateur	Celui qui aide, soutient et relève à l'aide de la voix ou de l'instrument la partie principale d'un morceau de. musique exécuté soit par la voix soit par un instrument.
Accompagnement	On entend par ce mot tantôt l'aide ou le soutien harmonique d'un chant ou d'une voix principale.
Accord	On appelle accord l'union simultanée de plusieurs sons produisant à l'oreille un effet agréable. La classification des accords employés dans l'harmonie a subi des variations infinies depuis Rameau jusqu'à nos jours. Nous les ferons connaître en parlant des théories harmoniques. En réalité, il n'y a que deux accords : l'accord parfait sur la tonique, et l'accord de dominante. L'accord parfait sur la tonique est composé de la tonique, de sa tierce majeure ou mineure, de sa quinte, et, si l'on veut, de son octave ; par exemple, ut, mi, sol, ut, dans le ton d'ut majeur, et ut, mi bémol, sol, ut, dans le ton d'ut mineur. L'accord de dominante est le même dans les deux modes. Il est composé de la dominante, de sa tierce, -de sa quinte, de sa septième, et si l'on veut de son octave ; par exemple, sol, si, ré, fa, sol, dans le ton d'ut. L'harmonie entière, dans un ton donné, se réduit à l'emploi successif de ces deux accords. (Voyez le mot HARMONIE.) On peut employer les accords dans leur état naturel et tels que nous venons de les écrire; on peut aussi doubler ou retrancher quelques-unes de leurs notes, et les disposer de plusieurs manières. On peut les modifier par le renversement, les altérations, le retard, l'anticipation, la substitution, les appogiatures, les notes de passage, les pédales et les progressions. (Voyez ces mots. Voyez aussi RÉSOLUTION des accords et MARCHE des parties harmoniques.) L'étude des accords et des lois qui les régissent constitue l'harmonie théorique; leur emploi, leur enchaînement plus ou moins heureux dans une pièce de musique, constitue l'harmonie pratique. (Voyez le mot HARMONIE et tous les mots ACCORDS.)
Accords consonnants	Les accords consonnants sont ceux qui ne se composent que des intervalles agréables appelés consonnances, et qui peuvent toujours être attaqués sans préparation. (Voyez INTERVALLE, CONSONNANCES, PRÉPARATION.)
Accords dérivés	Accords tirés des fondamentaux et dans lesquels on ne dispose pas les sons dans l'ordre le plus direct.
Accords dissonants	Les accords dissonants sont ceux qui procurent à l'oreille une sensation mois satisfaisante que les accords consonnants, qui se composent de dissonances (voyez ce mot), et qui, le plus souvent, ne peuvent s'attaquer sans préparation.
Accords fondamentaux	Les accords fondamentaux sont ceux dans lesquels on dispose les sons dans l'ordre le plus simple, c'est-à-dire à la tierce l'un de l'autre. (Voyez TIERCE.) Il n'y en a que deux dans un ton donné : l' accord par fait sur la tonique et l'accord de dominante.
Accord parfait	Il est composé de la tonique, de la tierce majeure ou mineure et de sa quinte. C'est le plus doux à l'oreille, et le seul qui donne le sentiment d'une conclusion harmonique.
Accord de dominante	Il est composé de la dominante, de sa tierce, de sa quinte et de sa septième. La dissonance et les attractions multipliées qu'il renferme lui donnent l'expression du mouvement. (Voyez le mot HARMONIE.)
Accord d'instrument	C'est tendre ou lâcher les cordes, allonger ou racourcir les tuyaux de l'orgue, de la flûte, du cor, tendre ou lâcher les peaux des timbales ; en un mot, c'est augmenter ou diminuer la tension des corps sonores, jusqu'à ce que toutes les parties de l'instrument soient au ton qu'elles doivent avoir. Le parfait accord de tous les instruments est une des principales qualités pour une bonne exécution d'ensemble. C'est pourquoi l'on a l'habitude, quelque temps avant de commencer à jouer, non-seulement d'accorder les instruments à cordes d'après le diapason, mais encore d'essayer tous les instruments à vent, pour voir s'ils sont d'accord entre eux. Au théâtre, ces préparatifs doivent se faire avant de descendre à l'orchestre.
Accords (positions des)	(Voyez le mot POSITIONS.)
Accords (enchaînement des)	L'harmonie entière se réduit à l'emploi alternatif de deux accords. (Voyez le mot HARMONIE). Il faut donc apprendre à les enchaîner l'un à l'autre avec régularité. En général, l'accord parfait et l'accord de dominante se succèdent avec régularité, lorsqu'ils le font d'une manière simple, naturelle, sans contorsion et, pour ainsi dire, de plain pied. L'accord de dominante doit toujours être suivi de l'accord parfait du ton dans lequel on est. Cette règle ne souffre qu'une exception dont nous parlerons dans l'article spécial du changement de ton. (Voyez MODULATION.) Lorsqu'on passe de l'accord de dominante à l'accord parfait, la sensible doit monter à la tonique, et le quatrième degré descendre sur le troisième. Ce sont précisément les tendances de la sensible vers la tonique, et du quatrième degré vers le troisième, qui caractérisent l'accord de dominante, en font un accord de mouvement, et le rendent propre à effectuer le mouvement au passage d'un ton à un autre ton. Ce n'est que dans les parties intermédiaires, et en secret pour ainsi dire, qu'il est permis de les négliger. Encore les bons auteurs ont-ils évité cette licence. Les autres notes de l'accord de dominante peuvent marcher au gré du compositeur. Le deuxième degré monte ou descend de manière à compléter l'accord parfait autant qu'il est possible. La basse monte ou descend presque toujours sur la tonique, à moins que l'on n'aime mieux un accord renversé. Dans les mélodies et dans les parties harmoniques chantantes, il n'est pas nécessaire que le quatrième degré descende immédiatement sur le troisième, ni que la sensible monte immédiatement à la tonique : il suffit que cela ait enfin lieu. Souvent même on évite cette terminaison, en offrant à l'oreille une autre tendance qui fait oublier la première. Ainsi, par exemple, la tendance de la sensible vers la tonique peut faire oublier celle du quatrième degré vers le troisième, et réciproquement. Quelquefois aussi on les néglige tout à fait Le goût et l'étude des maîtres enseigneront bien vite le reste. Lorsque l'accord de dominante est trop éloigné de sa forme naturelle par la substitution, le retard, les altérations, ou quelque autre modification en usage, on le ramène ordinairement à cette forme naturelle ou à quelqu'un de ses renversements, avant de le terminer. On peut, à son gré, l'y ramener immédiatement, ou se servir un instant de l'accord parlait, si on trouve cette voie plus simple et plus facile. L'accord parfait et l'accord de dominante peuvent se prolonger aussi longtemps qu'on le désire, avant de les faire succéder l'un à l'autre.
Accordeur	On nomme accordeurs d'orgue ou de piano ceux qui vont dans les églises ou dans les maisons accorder ces instruments. Quand les accordeurs raccommodent aussi ces instruments, ils prennent le nom de facteurs. (Voyez FACTEURS.) On nomme également ACCORDEUR, un petit instrument composé de douze diapasons en acier disposés sur une planchette sonore et donnant avecjustesse les douze demi-tons de la gamme par tempérament égal.
Accordo, lyre barberienne	C'était une espèce de basse italienne, à quinze cordes, qui servait anciennement pour jouer la basse de l'harmonie.
Accordoir	outil de facteur servant à accorder les pianos.
Accords	(Modification des). L'harmonie est à la fois une science et un langage: Comme science, elle doit former un corps de doctrine, un ensemble, un tout : elle fait par la tonalité, son principe unique et générateur. Comme langage, elle doit être variée, afin d'exprimer les sentiments variés du compositeur : elle l'est par les modifications qu'on peut faire subir aux accords, par le changement de ton. Ainsi l'harmonie est à la fois une et variée : elle est une par son essence et variée par ses formes. Les modifications harmoniques sont nombreuses ; les voici : changement de mode, doublement des notes, retranchement de quelques notes, disposition variée des notes, renversement, notes de passages et appogiatures, substitution, altérations diverses, prolongation et retard, pédale, progression ou marche de basse. Nous parlerons enfin de la modulation. (Voyez HARMONIE et chacun de ces mots.) Les modifications harmoniques ne changent absolument rien à la nature de l'accord parfait et de l'accord de dominante; mais elles en changent la physionomie et l'expression.
Accouplement	Se dit de la réunion de plusieurs jeux de l'orgue, réunis aux pressions d'un même clavier.
Acetabulum	Instrument ancien appelé en italien crepitacolo. Les acetabulums étaient des instruments de bronze ou d'argent qui faisaient un grand bruit, et on les frappait comme les sistres.
Achéens	Les Achéens chantaient en l'honneur d'Apollon des hymnes et des poëmes dont plusieurs portaient le nom depéan, pour obtenir la laveur de cette divinité.
A chula, a fofa	Danses portugaises qui ressemblent au fandango. A défaut de castagnettes, on bat la mesure avec les doigts.
A cinq parties	Se dit d'un morceau à cinq voix ou à cinq instruments, qui, par d'heureuses combinaisons de chants et d'accords, concourent à former un ensemble harmonieux. S'il n'y a qu'une seule voix à chaque partie, c'est un quintette (voyez ce mot); s'il y a plusieurs voix à chaque partie, c'est un choeur (voyez ce mot).
Acoumètre	instrument servant à mesurer l'étendue des sons de l'ouïe chez l'homme.
Acoustique	Tel est le nom que l'on donne à la science des sons , à l'étude de leurs mesures , des moyens de les produire. La vue et le toucher permettent de constater que le son qui frappe l'oreille a pour cause le mouvement vibratoire d'un corps solide, liquide ou gazeux. Le son pour être perçu,a besoin d'un intermédiaire, ainsi dans le vide le son n'arrive pas à notre oreille ; l'air sert le plus généralement de véhicule au son pour sa transmission. Cette transmission n'est pas instantanée, et on s'aperçoit facilement de ce fait en remarquant la distance qui existe, quand on tire le canon, entre l'explosion lumineuse et la perception du son. Des expériences ont fait reconnaître que le son parcourt 333 mètres par seconde, à la température de 0°, et pour une température plus élevée, l'élasticité de l'air étant augmentée, la vitesse de son augmente également : ainsi on a reconnu qu'à une température de 6°, la vitesse de son était de 337 mètres par seconde, et il est à peu près prouvé que les sons se propagent également vile, quels que soient leur intensité, leur diapason et leur timbre. L'harmonie d'un concert n'est pas troublée à quelque distance qu'on se place pour l'entendre ; l'intensité générale seule diminue par l'éloignement, mais la mesure et la simultanéité des sons différents qui concourent à former les accords restent inaltérées. L'air n'est pas le seul véhicule du son. Colardon et Sturm ont déterminé la vitesse du son dans l'eau calme, par une série d'expériences faites sur le lac de Genève, et la vitesse de la propagation du son était de 1,435 mètres par seconde. La mesure des sons et les moyens de les produire ont donné naissance à un art, celui de la construction des instruments et des appareils musicaux ( Voir FACTURE INSTRUMENTALE) . Le mouvement des vibrations qu'éprouve un corps se propage dans l'air par une transmission de proche en proche, que l'on peut comparer aux ondes successives auxquelles donnent naissance un caillou jeté dans une pièce d'eau tranquille. Lorsqu'une lame, tenue fixement par une de ses extrémités, est mise en mouvement à son extrémité libre, elle comprime les molécules de l'air qu'elle rencontre, exerce une certaine pression qui va croissant avec la vitesse de la lame; puis, décroissant, et enfin devenant nulle quand celle-ci rentre en repos. Un effet inverse se produit par le mouvement d'avant en arrière de la lame. On appelle onde sonore l'ensemble des couches d'air à diverses pressions croissantes et décroissantes pour une vibration. Par suite de la grande élasticité des gaz, ces couches d'air communiquent leur vitesse aux couches suivantes, puis rentrent en repos. Les molécules d'air ne parcourent donc que des distances peu étendues, tandis que le son se propage comme les ondes liquides à la surface de l'eau. De la vitesse des vibrations, ou du nombre de ces vibrations, dans un temps donné, dépend le plus ou moins de hauteur du son, qui sera d'autant plus élevé que les vibrations seront plus rapides, et d'autant plus bas que ces vibrations seront plus lentes. Mais notre oreille n'est pas susceptible de percevoir le son à tous les degrés ; il y a des limites à cette perception. En général, les sons cessent d'être perceptibles quand le nombre des vibrations dépasse environ 10,000 vibrations par seconde , ou reste inférieur à 30. Pour évaluer ces vibrations , beaucoup trop rapides pour être comptées directement, on a imaginé divers instruments. (Voir SIRÈNE), qui indiquent d'une manière assez précise le nombre de vibrationsdans un temps donné. Il existe un phénomène d'acoustique que l'évaluation numérique des vibrations a servi à expliquer : c'est celui des battements. Quand deux instruments de même nature, ou deux cordes, ou deux tuyaux rendent des sons prolongés, on entend en sus une sorte de roulement dont les battements élémentaires sont d'autant plus rapprochés que l'intervalle des deux sons est plus grand Quand les deux instruments, les deux cordes ou les deux tuyaux sont à l'unisson, tout battement cesse. Quand, au contraire, les sons sont très-distants l'un de l'autre, le roulement peut devenir assez précipité pour engendrer un troisième son. Ce phénomène est dû à la coïncidence des vibrations de deux corps sonores , qui se reproduit périodiquement et détermine, chaque fois, un renforcement dans le son. Le son se produit de différentes manières : les frottements et les chocs excitent une quantité de sons en déterminant dans les molécules des corps des agitations et des mouvements plus ou moins réguliers. Nous ne nous occuperons dans cet ouvrage, consacré spécialement à la musique, que des circonstances dans lesquelles peuvent prendre naissance les sons musicaux. Les moyens de production du son dans les instruments de musique sont de trois sortes. — 1° Les cordes sonores (voir ces mots) ; les expériences ont établi que les nombres de vibrations des cordes sont proportionnées aux racines carrées des poids qui les tendent, mais ils sont en raison inverse des longueurs des cordes, de leur épaisseur et des racines carrées de leurs densités; 2° La vibration des tiges. Quand une tige ou une lame est pincée par une de ses extrémités dans un étau, si on fait un effort pour la courber et qu'on l'abandonne à elle-même, on la voit, comme une corde pincée, décrire des oscillations dont le nombre est lié à la longueur de la partie vibrante d'une manière assez simple. Ce nombre est en raison inverse de la racine carrée de la longueur, comptée à partir de l'extrémité libre jusqu'au point ou la tige s'engage entre les dents de l'étau ; 3° Vibration de l'air dans les tuyaux. L'air dans bien des cas, est luimême le corps dont les vibrations excitent le son. On en voit de nombreux exemples dans les instruments à vent, qui, en général, isolent une colonne d'air, dont les dimensions influent sur la hauteur du son. Le procédé usité pour mettre cette colonne d'air en vibration, varie d'un instrument à l'autre, mais toujours on peut le considérer comme fondé sur l'emploi de l'anche (voir ce mot) ou du bec de flûte. Le son éprouve quelquefois certains obstacles à sa propagation, et alors il se réfléchit. Les conditions de ce mouvement rétrograde sans différer sensiblement de celles qui déterminent la propagation directe, donnent naissance à ces phénomènes qui ont reçu le nom d'écho. (voir SON.)
Acoucryptophone	Instrument sans corde et sans clavier, imaginé en Angleterre, en 1822, par Wheatstone, ayant la forme d'une lyre antique suspendue au plafond par un cordon de soie, il n'était pourvu d'aucune corde, mais pour le faire vibrer on appliquait une clef à une petite ouverture pratiquée dans le corps de l'instrument, comme on monte le ressort d'une montre. Aussitôt l'harmonie se faisait entendre, et semblait provenir de la lyre. Peu à peu les sons semblaient s'unir à ceux d'un piano de forme conique, ainsi qu'à ceux d'un tympanon placés dans l'appartement.
Acresciuto (augmenté)	Quelques auteurs, dans les intervalles augmentés de demi-tons, adoptent ce terme, qui est opposé à diminué, au lieu d'employer les mots excédant, altéré, superflu. Ils repoussent sur tout les deux dernières expressions comme des mots d'une signification équivoque.
Acte	En musique et en poésie ce mot signifie une division du drame, qui sert à reposer l'attention du spectateur. — L'intervalle entre deux actes s'appelle entr'acte. (Voyez le mot OPERA.)
Acte de cadence	Nom de la cadence qui consiste en un mouvement dans une des parties et sur tout dans la basse, qui force toutes les autres parties de concourir à former une cadence ou à l'éviter.
